number,team,player,speed,dash,shotpower,curlskill,balance,intelligence,jump,dribble,stamina
4,Brazil,Vincento,8,8,8,7,9,8,10,8,8
5,Brazil,Roca,8,8,5,8,9,8,9,9,8
6,Brazil,Ferreira,10,9,7,6,8,9,8,10,9
7,Brazil,Allejo,10,10,8,8,10,10,9,10,9
8,Brazil,Santos,9,9,6,9,9,9,9,9,8
9,Brazil,Pardilla,9,8,5,8,9,9,7,9,9
10,Brazil,Beranco,8,9,7,9,9,9,9,9,8
11,Brazil,Gomez,10,10,7,9,9,10,7,10,9
12,Brazil,Sousa,9,7,9,7,8,6,8,8,8
13,Brazil,Marengez,9,8,9,8,9,7,10,8,8
14,Brazil,Negros,9,7,6,7,9,9,10,7,9
15,Brazil,Rivero,9,9,6,9,8,8,8,9,8
16,Brazil,Leao,9,8,6,9,9,9,8,8,9
17,Brazil,Canell,9,9,6,9,9,8,7,8,8
18,Brazil,Fontana,9,9,5,9,9,9,9,9,9
19,Brazil,Senior,9,8,7,9,9,9,7,9,9
20,Brazil,Seneca,8,9,6,9,8,8,9,9,9
1,Bulgaria,Popov,7,7,5,3,9,6,6,4,9
2,Bulgaria,Simeonov,8,6,8,5,9,6,8,6,9
3,Bulgaria,Dimitrov,6,6,6,5,8,7,7,5,10
4,Bulgaria,Jugov,7,5,7,5,9,6,7,5,8
5,Bulgaria,Botev,8,5,7,4,9,7,6,5,10
6,Bulgaria,Jurenkov,8,9,5,8,9,9,6,9,9
7,Bulgaria,Slavkov,7,8,6,8,9,7,6,8,9
8,Bulgaria,Kostov,9,9,7,8,9,7,7,8,9
9,Bulgaria,Penev,9,7,6,8,9,8,8,9,10
10,Bulgaria,Bulgov,8,9,6,7,8,9,6,8,8
11,Bulgaria,Milakov,9,9,7,7,9,7,7,9,9
12,Bulgaria,Saranov,7,8,7,5,9,4,7,5,10
13,Bulgaria,Ivanov,7,6,8,4,9,5,8,5,8
14,Bulgaria,Borsev,8,6,8,6,9,6,7,7,8
15,Bulgaria,Kruchev,7,8,7,9,8,9,7,9,9
16,Bulgaria,Petkov,8,8,6,7,9,8,7,8,9
17,Bulgaria,Panzev,8,8,6,9,9,8,7,7,10
18,Bulgaria,Dienv,8,8,7,7,8,8,6,8,10
19,Bulgaria,Jakimov,7,7,6,7,9,8,7,7,8
20,Bulgaria,Jetchev,8,8,5,8,8,8,8,9,10
1,Cameroon,Yephett,6,5,6,2,7,3,5,4,6
2,Cameroon,Kiwi,6,7,6,6,7,5,6,5,7
3,Cameroon,Balou,7,6,6,5,6,6,7,5,6
4,Cameroon,Takanaki,8,6,6,5,7,6,7,6,7
5,Cameroon,Abombe,7,6,7,5,7,5,7,5,7
6,Cameroon,Susi,6,6,6,7,6,7,7,8,7
7,Cameroon,Koto,8,7,7,8,7,6,5,6,6
8,Cameroon,Mehdi,7,7,6,7,8,6,5,7,8
9,Cameroon,Mbuwa,7,6,7,7,7,6,5,7,7
10,Cameroon,Logi,6,7,7,7,6,6,5,8,6
11,Cameroon,Batik,7,8,6,6,7,6,5,7,8
12,Cameroon,Tchuli,6,6,5,4,5,3,6,3,5
13,Cameroon,Ngawa,6,6,7,5,7,6,6,6,6
14,Cameroon,Ombe,6,5,7,6,8,6,8,6,7
15,Cameroon,Maboang,6,7,5,6,8,6,5,6,7
16,Cameroon,Abdul,6,6,5,7,6,6,7,6,7
17,Cameroon,Gupta,7,6,6,8,6,7,7,7,7
18,Cameroon,Kopins,6,6,5,6,6,6,5,6,6
19,Cameroon,Swerlin,7,6,7,7,7,7,6,7,7
20,Cameroon,Katanga,8,7,6,7,7,7,5,8,8
1,Colombia,Heffez,7,6,5,4,7,5,8,6,8
2,Colombia,Suarez,7,7,6,5,7,7,7,6,8
3,Colombia,Muedra,8,6,7,6,6,7,7,5,7
4,Colombia,Ramirez,7,6,6,5,8,6,6,7,7
5,Colombia,Alberto,7,6,7,6,6,5,8,5,8
6,Colombia,Perera,8,8,7,8,7,8,6,8,9
7,Colombia,Almonto,7,9,5,9,8,8,7,8,8
8,Colombia,Montoya,8,9,7,8,7,8,6,9,7
9,Colombia,Perez,9,9,6,8,8,9,7,8,9
10,Colombia,Murillo,8,8,7,9,9,9,8,9,9
11,Colombia,Alvarez,10,10,6,8,9,9,7,9,8
12,Colombia,Garcia,7,6,6,5,6,5,6,6,6
13,Colombia,Martinez,8,6,7,6,6,7,8,6,7
14,Colombia,Flores,6,5,6,6,7,5,8,5,8
15,Colombia,Herrera,8,7,7,8,8,7,7,9,9
16,Colombia,Ferro,7,9,5,7,8,7,8,8,8
17,Colombia,Escobar,9,8,6,8,8,8,6,7,9
18,Colombia,Silvio,8,9,6,9,9,9,8,7,8
19,Colombia,Marco,8,9,7,7,9,9,8,9,9
20,Colombia,Billardo,8,7,6,8,9,9,6,7,9
1,Croatia,Mercep,6,5,5,4,6,4,6,7,6
2,Croatia,Zuljevic,8,6,7,5,8,6,7,8,8
3,Croatia,Bosniak,8,7,6,5,7,7,7,7,6
4,Croatia,Bakonu,8,6,7,7,8,7,7,7,6
5,Croatia,Stojic,8,7,7,7,7,5,8,8,6
6,Croatia,Bartulic,6,7,7,9,7,7,6,9,6
7,Croatia,Vulic,7,7,6,8,8,7,6,8,7
8,Croatia,Panic,6,6,6,7,7,7,7,7,7
9,Croatia,Josic,8,8,7,8,8,8,6,9,6
10,Croatia,Julic,8,7,6,9,9,7,7,9,7
11,Croatia,Andric,8,7,7,8,8,6,7,8,7
12,Croatia,Nikolic,7,6,7,4,6,3,6,5,7
13,Croatia,Vulitic,7,7,7,7,7,6,8,7,7
14,Croatia,Rezic,7,7,7,6,7,5,8,8,7
15,Croatia,Saric,7,6,6,9,8,7,5,8,7
16,Croatia,Spasic,7,6,6,8,6,7,6,7,7
17,Croatia,Vracevic,8,7,6,7,8,6,6,9,8
18,Croatia,Vankovic,6,6,5,7,6,7,7,8,7
19,Croatia,Culovic,8,7,7,8,7,6,6,8,7
20,Croatia,Dragic,7,6,5,8,8,8,5,8,7
1,Czech Republic,Kuna,7,7,5,3,7,5,7,5,7
2,Czech Republic,Jaromir,7,5,8,4,7,7,8,7,8
3,Czech Republic,Ladra,8,6,6,6,7,7,7,7,7
4,Czech Republic,Burjanek,8,6,7,6,7,7,8,5,6
5,Czech Republic,Suchy,8,6,7,4,6,5,7,7,8
6,Czech Republic,Horvath,7,5,7,4,7,6,7,6,6
7,Czech Republic,Volny,8,6,5,8,7,8,7,6,6
8,Czech Republic,Bencsch,7,8,7,6,7,6,7,7,6
9,Czech Republic,Svoboda,8,8,5,8,7,7,5,8,8
10,Czech Republic,Novotny,7,6,6,7,7,8,7,8,7
11,Czech Republic,Blazek,8,7,7,7,9,8,10,6,7
12,Czech Republic,Premysl,8,6,6,3,6,5,8,4,7
13,Czech Republic,Vaclav,6,7,7,5,7,6,8,6,6
14,Czech Republic,Viktor,7,6,6,7,7,7,7,8,6
15,Czech Republic,Joki,6,8,7,8,7,7,6,8,7
16,Czech Republic,Veseli,6,6,6,6,8,6,7,7,7
17,Czech Republic,Horska,7,7,6,6,6,6,5,7,7
18,Czech Republic,Migas,6,6,5,7,8,6,7,8,7
19,Czech Republic,Pivarnik,7,8,6,7,7,8,6,7,7
20,Czech Republic,Adamec,7,7,5,6,7,8,6,8,7
1,Denmark,P.Olsen,7,7,6,5,6,5,6,5,7
2,Denmark,S.Jensen,6,5,6,6,6,7,6,6,7
3,Denmark,Poulsen,7,7,8,6,6,5,6,5,6
4,Denmark,H.Moller,7,6,7,5,7,5,6,6,7
5,Denmark,Nielsen,8,6,7,4,7,6,7,5,7
6,Denmark,Christen,8,7,6,7,8,8,7,8,8
7,Denmark,F.Molby,8,8,6,8,7,8,6,9,7
8,Denmark,Schmeich,8,9,6,7,8,7,7,8,8
9,Denmark,Rasmusse,9,9,6,8,8,7,6,9,8
10,Denmark,Laudrup,9,9,7,7,9,9,7,9,8
11,Denmark,Elstrup,9,7,7,8,8,8,8,7,8
12,Denmark,Sivebaek,6,7,6,3,6,4,7,4,7
13,Denmark,A.Pingel,8,6,7,4,8,6,7,7,7
14,Denmark,Vilfort,8,5,7,5,7,6,8,6,7
15,Denmark,Petersen,8,8,6,8,7,7,7,7,7
16,Denmark,Hansen,8,7,5,7,8,9,6,8,7
17,Denmark,Norby,9,9,5,9,8,7,7,8,9
18,Denmark,Jyske,7,8,5,8,8,9,7,7,8
19,Denmark,Larsen,8,8,6,7,7,9,7,9,9
20,Denmark,Olesen,9,8,7,7,9,8,7,8,8
1,England,R.Banks,6,7,6,3,7,5,8,5,7
2,England,S.Walker,8,6,8,6,7,5,7,6,7
3,England,I.Adams,7,6,6,6,7,6,6,5,8
4,England,B.Wright,9,5,7,6,7,6,6,6,8
5,England,J.Moore,8,6,6,5,8,6,7,6,8
6,England,Charlton,7,7,6,7,6,7,7,7,7
7,England,K.Hoddle,8,7,6,6,6,7,7,8,6
8,England,J.Platt,8,8,6,7,6,6,5,6,7
9,England,F.Morley,9,7,5,7,8,7,6,7,7
10,England,T.Keegan,8,7,6,7,8,8,6,8,8
11,England,A.Regis,8,8,6,6,7,7,5,6,7
12,England,G.Brown,6,6,6,5,8,5,7,5,7
13,England,Gascoign,8,5,6,6,7,6,8,7,7
14,England,Duckham,7,7,7,5,6,6,6,7,6
15,England,Carling,8,7,7,6,8,7,6,7,6
16,England,Lippitt,7,6,6,7,7,7,5,7,7
17,England,Stone,8,8,5,7,7,8,6,7,7
18,England,Sloan,8,7,6,7,6,8,6,7,7
19,England,Noble,8,8,6,6,7,8,7,6,6
20,England,Graham,8,6,5,6,8,7,5,7,6
1,France,C.Didier,7,6,7,5,7,5,6,5,7
2,France,S.Lablan,7,7,8,5,6,6,8,6,8
3,France,D.davide,8,5,7,6,8,6,8,5,7
4,France,M.Lecomt,6,6,8,6,6,7,6,6,6
5,France,J.LeRoux,8,7,7,5,7,6,6,6,8
6,France,M.Dupont,8,9,6,8,8,7,8,8,9
7,France,Thierry,8,8,6,9,7,8,7,8,9
8,France,L.Funes,7,8,5,8,8,9,7,8,8
9,France,F.Royere,7,7,7,9,7,8,7,7,8
10,France,Chatillo,7,9,6,7,9,8,7,7,8
11,France,D.Dubois,8,7,6,8,9,7,7,7,7
12,France,Calvier,7,7,5,4,7,6,8,6,7
13,France,R.Arnaud,7,7,6,4,7,6,8,6,7
14,France,Morcau,7,5,6,5,7,5,7,6,7
15,France,Cailleux,8,8,6,7,8,8,7,8,7
16,France,Seban,7,8,7,9,8,8,8,8,9
17,France,Marais,8,8,5,8,9,9,6,8,9
18,France,Laffite,8,9,6,8,7,8,7,8,8
19,France,Pascal,8,7,6,7,7,8,6,8,8
20,France,Levesque,8,8,6,9,8,9,7,9,8
1,Germany,Wagner,8,9,5,5,9,6,7,6,10
2,Germany,Kleimann,8,8,7,8,9,8,8,8,9
3,Germany,Muller,8,8,7,6,9,8,9,7,9
4,Germany,Segel,8,9,7,6,9,7,9,7,9
5,Germany,Klahold,9,8,8,8,9,9,9,7,9
6,Germany,Guenther,9,8,7,8,10,8,8,9,9
7,Germany,Bock,8,9,7,10,9,8,6,10,10
8,Germany,Strank,9,8,8,9,10,9,8,9,9
9,Germany,Kuhnert,8,9,7,8,9,7,9,7,10
10,Germany,Kolle,9,8,10,8,10,8,8,7,10
11,Germany,Sieke,10,9,8,7,10,8,9,7,9
12,Germany,Lachmann,8,7,6,5,8,6,9,6,9
13,Germany,Schindl,8,8,7,6,9,7,9,7,10
14,Germany,Abel,7,6,7,5,9,6,7,6,9
15,Germany,Rinke,7,8,6,5,9,8,8,7,8
16,Germany,Schmiedl,8,9,5,8,9,8,8,7,9
17,Germany,Dreher,7,9,7,9,9,8,8,7,9
18,Germany,Becker,8,7,6,8,9,7,7,7,9
19,Germany,Gibhardt,8,7,6,9,8,8,6,9,8
20,Germany,Frohlich,8,7,5,7,9,7,7,9,10
1,Greece,Kosmidis,6,7,6,3,5,5,7,4,7
2,Greece,Nicos,7,5,7,3,6,5,6,6,5
3,Greece,Yiannis,6,5,6,3,6,4,6,5,5
4,Greece,Pavlis,5,5,7,4,5,5,7,5,5
5,Greece,Pappas,5,6,8,3,6,4,7,5,6
6,Greece,Kostas,7,5,7,6,5,5,5,5,5
7,Greece,Antonis,7,6,7,6,5,7,5,6,6
8,Greece,Dimitros,6,6,7,6,6,6,6,6,6
9,Greece,Spiros,6,5,7,5,5,7,5,5,5
10,Greece,Dokos,6,6,6,5,7,6,4,6,5
11,Greece,Giorgos,5,5,7,6,5,7,5,5,6
12,Greece,Nikos,7,6,5,3,5,4,6,4,6
13,Greece,Aris,7,5,8,5,5,6,5,5,6
14,Greece,Atroglos,5,5,7,3,7,5,6,4,7
15,Greece,Athos,5,7,6,5,6,6,5,5,6
16,Greece,Vangelis,5,7,6,6,5,5,5,7,7
17,Greece,Patros,6,6,6,6,6,6,5,6,7
18,Greece,Alekos,6,7,6,6,6,6,5,5,6
19,Greece,Christos,7,6,5,6,6,6,5,5,6
20,Greece,Glynias,6,7,6,7,6,6,5,5,5
1,Holland,Groen,6,8,6,5,6,5,7,4,7
2,Holland,De Jong,6,7,8,5,7,5,8,6,8
3,Holland,Heijnen,8,7,7,9,8,8,9,8,9
4,Holland,Kadijk,7,7,10,9,7,8,8,6,8
5,Holland,Schurger,7,7,8,4,7,6,9,5,6
6,Holland,Van Wijk,9,9,9,9,9,9,9,10,9
7,Holland,De Rijk,8,9,7,9,8,9,8,9,8
8,Holland,De Grood,8,8,6,9,8,8,9,7,7
9,Holland,Visscher,9,8,7,7,7,7,9,8,8
10,Holland,Koppers,9,9,7,8,9,8,9,8,9
11,Holland,Bergsen,9,9,6,9,9,9,8,9,9
12,Holland,Jergen,7,7,6,4,7,4,8,5,7
13,Holland,De Veer,6,6,8,5,6,6,8,6,8
14,Holland,Nuyens,7,6,8,5,7,5,9,6,7
15,Holland,Waatijk,8,5,7,6,6,6,9,7,7
16,Holland,van Gent,9,8,6,9,8,8,9,8,7
17,Holland,Peterse,9,7,6,7,9,9,8,8,8
18,Holland,Bakker,8,8,7,9,9,8,7,9,9
19,Holland,Swaart,9,9,6,9,9,9,8,9,9
20,Holland,D.Groen,8,9,6,9,8,9,8,9,10
1,Ireland,Malin,6,7,5,4,7,4,6,6,8
2,Ireland,Galvin,9,6,8,5,7,6,8,6,7
3,Ireland,Ryan,8,6,7,5,6,5,8,6,7
4,Ireland,Murphy,9,6,8,5,7,6,8,6,8
5,Ireland,Clancy,9,6,7,4,7,6,8,7,7
6,Ireland,Magee,8,7,5,7,8,6,6,7,8
7,Ireland,Bailey,7,8,6,7,7,6,7,8,8
8,Ireland,Coady,8,7,5,7,6,7,5,6,7
9,Ireland,Bonar,9,7,7,7,6,8,7,7,7
10,Ireland,Kiely,7,8,6,6,8,8,5,7,8
11,Ireland,Cronin,8,8,6,7,8,7,7,7,7
12,Ireland,Smyth,6,8,6,5,6,5,7,6,8
13,Ireland,Dunne,7,6,7,5,7,7,7,7,7
14,Ireland,Byrne,9,5,7,5,6,6,7,7,6
15,Ireland,Morrison,9,6,5,6,8,8,6,7,8
16,Ireland,Adams,8,7,6,7,6,7,5,8,8
17,Ireland,Stewart,7,8,6,6,6,6,5,7,6
18,Ireland,McEvoy,7,6,5,8,8,8,5,7,7
19,Ireland,O'Malley,9,6,6,8,7,7,7,7,7
20,Ireland,Donnelly,9,7,5,7,7,7,5,6,7
1,Italy,Pagani,9,9,6,5,8,7,9,6,8
2,Italy,Zappa,8,9,9,9,8,8,7,9,9
3,Italy,Graziano,8,9,7,7,9,8,10,8,9
4,Italy,Antonini,8,8,6,7,9,9,9,7,8
5,Italy,Premoli,10,10,7,7,10,10,9,9,9
6,Italy,Pabi,9,9,7,6,9,8,9,9,9
7,Italy,DeSinone,9,9,6,9,9,9,8,9,9
8,Italy,Passaro,8,8,5,9,8,9,7,8,9
9,Italy,Carboni,9,8,9,7,9,9,6,6,10
10,Italy,Galfano,10,10,8,10,8,10,7,10,8
11,Italy,Coliuto,9,9,8,7,6,8,7,7,7
12,Italy,Mancini,8,9,5,5,8,5,9,6,7
13,Italy,Bucario,8,8,7,6,9,8,10,7,9
14,Italy,Pabrizio,9,7,7,8,9,8,9,8,8
15,Italy,Riggio,9,9,5,8,9,8,7,8,8
16,Italy,Zanga,8,9,7,10,9,9,8,10,9
17,Italy,Bittani,8,9,6,8,8,6,6,7,7
18,Italy,Anticoli,9,9,7,7,7,7,7,7,7
19,Italy,Cortese,9,9,7,7,6,8,5,7,8
20,Italy,Fidrini,9,8,7,8,6,6,5,7,6
1,Japan,Nakagawa,5,5,6,3,6,4,6,4,6
2,Japan,Yamazaki,6,6,8,3,5,5,6,5,6
3,Japan,Kondo,6,7,6,4,6,5,7,5,6
4,Japan,Hasebe,6,5,8,4,7,4,6,5,6
5,Japan,Shimizu,7,6,7,5,7,6,5,4,6
6,Japan,Inoue,6,6,5,5,6,7,5,7,7
7,Japan,Nishida,6,6,7,6,6,7,5,5,6
8,Japan,Kazami,7,6,6,6,5,7,6,7,9
9,Japan,Okuda,8,9,6,6,7,7,6,8,7
10,Japan,Hiyama,7,8,6,5,5,7,6,8,7
11,Japan,Hasimoto,7,8,5,6,6,7,6,9,6
12,Japan,Mizutani,6,5,5,3,6,4,6,4,5
13,Japan,Yoshida,6,4,7,4,5,5,6,5,5
14,Japan,Minami,5,5,7,3,7,5,7,5,7
15,Japan,Shimada,6,6,6,6,6,6,5,5,7
16,Japan,Tabei,6,6,6,7,6,5,5,6,5
17,Japan,Namba,6,6,6,6,6,6,6,7,5
18,Japan,Hanai,7,7,7,6,5,6,6,8,7
19,Japan,Kozako,6,7,6,7,7,6,6,8,7
20,Japan,Aki,8,8,6,5,6,3,5,7,7
1,Mexico,Leone,9,9,6,5,8,6,5,6,7
2,Mexico,Rivera,6,5,6,4,7,6,7,7,8
3,Mexico,Accosta,7,7,7,4,8,6,7,6,7
4,Mexico,Salazar,7,6,6,6,8,6,6,5,7
5,Mexico,Perez,8,8,6,7,7,8,7,8,8
6,Mexico,Sanchez,7,8,6,9,7,9,7,8,9
7,Mexico,Moya,9,9,6,8,8,9,6,9,7
8,Mexico,Lopez,9,9,6,7,8,7,7,8,9
9,Mexico,Milagro,7,8,6,8,7,8,7,9,9
10,Mexico,Diaz,9,9,5,7,9,7,7,8,7
11,Mexico,Munoz,9,8,7,8,8,8,8,9,8
12,Mexico,Espinoza,9,8,7,6,8,6,8,6,7
13,Mexico,Montegna,6,6,6,6,8,6,8,5,7
14,Mexico,Medina,7,6,8,5,6,6,7,5,7
15,Mexico,Arroyo,7,6,6,5,7,6,8,7,6
16,Mexico,Alvarez,8,8,6,8,7,8,7,8,8
17,Mexico,Gonzales,8,9,6,9,8,8,6,8,9
18,Mexico,Pereda,7,9,6,9,7,8,6,8,8
19,Mexico,Fragoso,8,8,5,8,9,8,7,7,9
20,Mexico,Padilla,7,9,6,8,8,8,7,7,7
1,Morocco,Moulay,5,7,6,3,6,5,7,4,5
2,Morocco,SliMani,5,3,6,3,6,5,5,3,5
3,Morocco,Lamrani,6,5,6,3,6,4,5,4,4
4,Morocco,Kassou,5,5,7,3,6,3,6,5,5
5,Morocco,Feras,6,4,7,2,5,3,4,3,5
6,Morocco,Arafa,7,6,6,6,6,6,4,6,6
7,Morocco,Raschid,7,6,6,5,7,5,4,6,7
8,Morocco,Rbia,7,7,6,6,7,5,5,6,7
9,Morocco,El Azhar,7,6,7,7,6,6,5,6,7
10,Morocco,Maaroufi,6,6,5,7,6,7,4,6,6
11,Morocco,Bamous,5,5,6,5,5,5,5,4,5
12,Morocco,Mouhoub,6,7,5,2,7,3,6,4,6
13,Morocco,Kamil,6,5,6,2,6,5,5,4,5
14,Morocco,Fuad,6,5,7,2,5,4,6,5,5
15,Morocco,Rabia,5,7,6,6,6,6,5,6,6
16,Morocco,Feda,5,5,5,6,5,5,4,5,5
17,Morocco,Fargani,5,6,6,6,4,4,4,6,4
18,Morocco,Baitar,5,4,7,6,4,4,4,5,5
19,Morocco,Paret,4,5,6,5,4,6,5,5,5
20,Morocco,Desalgin,5,4,7,6,4,5,4,6,4
1,N.Ireland,Quinn,7,7,5,4,7,5,8,5,9
2,N.Ireland,Rourke,7,5,7,5,8,6,9,7,8
3,N.Ireland,Quinlan,7,6,8,4,8,5,8,5,8
4,N.Ireland,Devine,8,6,8,6,7,5,7,6,8
5,N.Ireland,Guinness,8,7,7,4,7,7,8,6,7
6,N.Ireland,Murphy,7,8,6,7,6,6,8,7,7
7,N.Ireland,Quirke,6,7,7,8,8,7,7,7,9
8,N.Ireland,Mahoney,7,7,6,7,7,7,9,6,8
9,N.Ireland,McCreedy,8,7,7,7,7,7,8,7,8
10,N.Ireland,Belling,7,7,6,8,7,6,8,7,8
11,N.Ireland,Slaine,8,7,6,6,7,6,8,6,9
12,N.Ireland,Connell,8,6,6,3,8,5,7,5,7
13,N.Ireland,Doughty,7,6,7,4,7,6,9,6,8
14,N.Ireland,Conlan,8,5,6,6,7,7,8,6,9
15,N.Ireland,Fagan,7,7,5,7,7,7,8,7,8
16,N.Ireland,Paisley,7,8,6,8,7,7,9,7,7
17,N.Ireland,McSween,7,8,6,7,7,8,9,6,9
18,N.Ireland,Patricks,6,7,6,7,8,7,8,8,9
19,N.Ireland,James,7,7,6,6,8,7,7,6,9
20,N.Ireland,Cain,6,7,6,6,8,7,8,6,8
1,Nigeria,Bugri,7,6,6,3,8,5,8,5,8
2,Nigeria,Bukezi,7,7,7,6,9,6,7,5,8
3,Nigeria,Nkomo,9,6,7,4,8,5,6,7,8
4,Nigeria,Ugapi,9,7,7,6,9,7,8,6,7
5,Nigeria,Bobo,9,7,5,8,7,7,7,6,6
6,Nigeria,Rezi,7,7,7,6,8,7,6,6,7
7,Nigeria,Bilar,9,7,5,8,7,7,7,8,8
8,Nigeria,Neshu,8,6,7,7,9,8,6,8,7
9,Nigeria,Taliha,8,6,6,7,8,7,7,7,8
10,Nigeria,Mauro,8,9,6,8,7,7,7,8,8
11,Nigeria,Yakuni,8,8,6,9,9,7,6,8,8
12,Nigeria,Adebade,6,7,5,4,8,4,7,5,6
13,Nigeria,Embibi,9,7,7,5,8,6,7,7,6
14,Nigeria,Amupoti,7,6,8,4,7,7,7,7,7
15,Nigeria,Okochi,9,5,7,5,8,6,7,5,6
16,Nigeria,Elroy,9,7,6,7,8,7,7,8,7
17,Nigeria,Kibbee,8,8,7,8,8,7,8,9,8
18,Nigeria,Zwed,9,8,7,7,7,8,7,8,7
19,Nigeria,Ellat,9,7,7,7,8,8,7,9,8
20,Nigeria,Taunton,8,7,7,8,8,8,7,8,8
1,Norway,Fossen,6,6,6,4,8,5,9,5,9
2,Norway,Bjerke,8,6,7,5,8,5,10,6,8
3,Norway,Forsell,6,6,7,5,9,6,9,7,9
4,Norway,Kjerulf,7,6,7,5,8,5,10,5,8
5,Norway,Nordberg,7,7,6,5,9,6,10,6,8
6,Norway,Thorsen,8,7,6,7,8,6,10,7,9
7,Norway,Vigeland,6,7,6,8,8,8,9,6,9
8,Norway,Vesaas,7,7,7,8,8,6,9,7,8
9,Norway,Kvalatad,7,6,7,7,9,7,10,6,8
10,Norway,Bjornsen,7,6,6,6,8,8,10,7,9
11,Norway,Flink,7,8,6,7,9,7,10,8,8
12,Norway,Enhammar,7,7,7,4,7,5,9,5,8
13,Norway,Olsen,7,7,6,5,8,6,9,6,8
14,Norway,Erikssen,7,5,6,5,8,6,10,7,9
15,Norway,Valhal,8,6,5,6,9,7,10,8,8
16,Norway,Heirung,7,6,6,7,8,6,9,6,8
17,Norway,Nilsen,7,7,5,8,8,8,9,6,8
18,Norway,Halestol,7,8,6,7,9,7,10,8,9
19,Norway,Hoen,7,7,7,7,8,8,9,7,8
20,Norway,Simensen,7,6,7,7,8,7,9,8,8
1,Poland,Rybsky,8,7,6,5,8,6,6,5,8
2,Poland,Nowak,8,7,6,5,7,6,7,5,7
3,Poland,Norvid,9,6,8,5,8,5,7,6,7
